SubjID,Dice,RO,Percent_of_Region_1_In_Overlap,Percent_of_Region_2_In_Overlap,Hem,Test
31897,0.737898615,0.584658742,0.732593358,0.743281305,RIGHT,FSsubfieldsvsManual
31902,0.660662325,0.493275404,0.83327508,0.5472911,LEFT,FSasegvsManual
31902,0.707142857,0.546961308,0.819817245,0.621697724,RIGHT,FSasegvsManual
31902,0.820909971,0.696223319,0.889199555,0.762361407,LEFT,HippodeepvsManual
31902,0.825830654,0.703331828,0.880068541,0.777889967,RIGHT,HippodeepvsManual
31902,0.705989386,0.545582354,0.81370151,0.623460114,LEFT,FSsubfieldsvsManual
31902,0.755313496,0.606830299,0.811821818,0.706159949,RIGHT,FSsubfieldsvsManual
31904,0.769111456,0.624842465,0.900622725,0.67111367,LEFT,FSasegvsManual
31904,0.69116341,0.528074622,0.864722252,0.575628698,RIGHT,FSasegvsManual
31904,0.855157279,0.746964872,0.909963667,0.806577742,LEFT,HippodeepvsManual
31904,0.798461157,0.664532125,0.893611133,0.721624076,RIGHT,HippodeepvsManual
31904,0.767605634,0.622857153,0.820186794,0.721360087,LEFT,FSsubfieldsvsManual
31904,0.731198809,0.576291084,0.818333328,0.660834432,RIGHT,FSsubfieldsvsManual
31906,0.66714429,0.500537515,0.838918924,0.553758323,LEFT,FSasegvsManual
31906,0.638431373,0.468894005,0.830612242,0.51847136,RIGHT,FSasegvsManual
31906,0.821456176,0.697009444,0.95747745,0.719274521,LEFT,HippodeepvsManual
31906,0.828528975,0.707255185,0.948299348,0.735620081,RIGHT,HippodeepvsManual
31906,0.680081111,0.515244603,0.785585582,0.599559963,LEFT,FSsubfieldsvsManual
31906,0.684700407,0.520566106,0.80068028,0.598069131,RIGHT,FSsubfieldsvsManual
31919,0.70164538,0.540411174,0.807682097,0.620219707,LEFT,FSasegvsManual
31919,0.704388253,0.543672323,0.805915952,0.625579059,RIGHT,FSasegvsManual
31919,0.836377283,0.718770146,0.885562897,0.792367876,LEFT,HippodeepvsManual
31919,0.844514794,0.730874598,0.899844289,0.795595348,RIGHT,HippodeepvsManual
31919,0.71233868,0.553203464,0.782251656,0.653897226,LEFT,FSsubfieldsvsManual
31919,0.739963392,0.587255478,0.78671509,0.698456585,RIGHT,FSsubfieldsvsManual
31921,0.711403378,0.552076101,0.822107077,0.626975775,LEFT,FSasegvsManual
31921,0.629953198,0.459804147,0.786521256,0.525370777,RIGHT,FSasegvsManual
31921,0.840700584,0.725179851,0.870466292,0.812903225,LEFT,HippodeepvsManual
31921,0.804983561,0.673617125,0.906116068,0.72415942,RIGHT,HippodeepvsManual
31921,0.759602649,0.612386525,0.792400718,0.729411781,LEFT,FSsubfieldsvsManual
31921,0.707513264,0.547404647,0.805220127,0.630952358,RIGHT,FSsubfieldsvsManual
31932,0.693473792,0.530776799,0.888998687,0.568449855,LEFT,FSasegvsManual
31932,0.681556528,0.516940296,0.903540909,0.547134936,RIGHT,FSasegvsManual
31932,0.839229736,0.722993851,0.925889313,0.767403781,LEFT,HippodeepvsManual
31932,0.845660881,0.732593119,0.966727734,0.751542449,RIGHT,HippodeepvsManual
31932,0.71920758,0.561533272,0.825098813,0.637404561,LEFT,FSsubfieldsvsManual
31932,0.741067949,0.588648081,0.870573878,0.645102918,RIGHT,FSsubfieldsvsManual
31934,0.661058535,0.493717283,0.828404129,0.54996109,LEFT,FSasegvsManual
31934,0.634960558,0.465159118,0.863495052,0.502079189,RIGHT,FSasegvsManual
31934,0.825449061,0.702778399,0.881405592,0.776173294,LEFT,HippodeepvsManual
31934,0.807795699,0.6775648,0.934390545,0.711410999,RIGHT,HippodeepvsManual
31934,0.72741659,0.571606219,0.807613492,0.661708236,LEFT,FSsubfieldsvsManual
31934,0.706726457,0.546463251,0.857587039,0.601002395,RIGHT,FSsubfieldsvsManual
31936,0.601280755,0.429879516,0.852229297,0.464502692,LEFT,FSasegvsManual
31936,0.698851168,0.537103176,0.78532058,0.6295349,RIGHT,FSasegvsManual
31936,0.803082647,0.670959175,0.962420404,0.689010501,LEFT,HippodeepvsManual
31936,0.801240209,0.668390989,0.712213516,0.915703118,RIGHT,HippodeepvsManual
31936,0.663543897,0.496495098,0.789490461,0.572252989,LEFT,FSsubfieldsvsManual
31936,0.683793386,0.519518256,0.725848556,0.646344602,RIGHT,FSsubfieldsvsManual
